,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,Actions,Selection,Seed,ClickAgreement
51,7,0,test_1,3.918633537737285,3.705179126404749,4,"[[1, 4, 4], [2, 4, 5], [3, 4, 4], [1, 4, 2]]",3,20,0.0
52,7,0,test_2,4.181104318830438,3.6999244543554646,3,"[[4, 4, 3], [2, 4, 3], [1, 4, 4]]",2,19,0.0
53,7,0,test_3,3.8829414355141183,3.8075412239586437,3,"[[0, 4, 2], [1, 4, 4], [1, 4, 3]]",1,18,0.0
54,7,0,test_4,4.528718959444991,3.8035412239586437,5,"[[0, 4, 4], [2, 4, 4], [0, 4, 3], [4, 4, 4], [3, 4, 3]]",0,17,0.16666666666666666
55,7,0,test_5,3.8766087606527946,3.718932529068927,3,"[[0, 4, 4], [2, 4, 4], [3, 4, 5]]",3,16,0.25
56,7,0,test_6,4.276378583114634,3.6959244543554646,5,"[[0, 4, 3], [1, 4, 4], [2, 4, 4], [3, 4, 3], [4, 4, 3]]",4,15,0.16666666666666666
57,7,0,test_7,4.1046598722742065,3.8055412239586435,4,"[[0, 4, 4], [1, 4, 4], [2, 4, 4], [2, 4, 3]]",2,14,0.2
58,7,0,test_8,4.494134674806647,3.6545066512626656,4,"[[0, 4, 4], [0, 4, 3], [1, 4, 5], [2, 4, 5]]",0,13,0.4
59,7,0,test_9,4.334025265817761,3.7071791264047493,3,"[[0, 4, 4], [1, 4, 5], [2, 4, 4]]",2,12,0.25
60,8,2,test_0,3.876370498244402,3.140047755158364,2,"[[0, 4, 5], [0, 2, 5]]",0,21,0.3333333333333333
61,8,2,test_1,3.9246335377372854,3.722932529068927,1,"[[3, 4, 5]]",3,20,0.5
62,8,2,test_2,2.293670085115509,3.4413336916174826,1,"[[1, 2, 5]]",1,19,0.0
63,8,2,test_3,3.943203480779368,3.568144173992707,4,"[[0, 5, 5], [3, 5, 5], [1, 5, 5], [0, 4, 5]]",0,18,0.2
64,8,2,test_4,2.5330420156466986,3.4503729280308546,5,"[[0, 5, 5], [1, 5, 5], [2, 5, 5], [3, 5, 5], [4, 5, 5]]",4,17,0.16666666666666666
65,8,2,test_5,2.1547273335764157,3.0260316123045023,2,"[[0, 4, 5], [0, 4, 1]]",0,16,0.3333333333333333
66,8,2,test_6,3.012548735688526,3.718932529068927,3,"[[2, 4, 5], [1, 4, 5], [0, 4, 5]]",1,15,0.5
67,8,2,test_7,2.093432174465732,3.401163603333333,0,[],0,14,0.0
68,8,2,test_8,3.687505201495061,3.401163603333333,0,[],4,13,0.0
69,8,2,test_9,4.340025265817761,3.401163603333333,0,[],2,12,0.0
70,9,2,test_0,3.673830218003717,3.6583401357980017,5,"[[0, 4, 5], [1, 4, 1], [2, 4, 1], [2, 4, 5], [0, 4, 1]]",2,21,0.8333333333333334
71,9,2,test_1,3.7176159406472458,3.1792774756299567,5,"[[1, 4, 5], [0, 4, 5], [2, 4, 5], [0, 4, 1], [1, 4, 1]]",1,20,0.6666666666666666
72,9,2,test_2,4.177104318830438,3.8175859991234553,5,"[[0, 4, 1], [0, 4, 5], [1, 4, 1], [2, 4, 1], [2, 4, 5]]",2,19,1.0
73,9,2,test_3,3.8789414355141183,3.8175859991234553,5,"[[0, 4, 1], [0, 4, 5], [1, 4, 1], [1, 4, 5], [2, 4, 1]]",1,18,0.6666666666666666
74,9,2,test_4,5.007721622330666,3.8175859991234553,5,"[[0, 4, 1], [0, 4, 5], [1, 4, 1], [1, 4, 5], [2, 4, 1]]",1,17,0.6666666666666666
75,9,2,test_5,2.7018919873904954,3.1779524054382726,5,"[[0, 4, 1], [0, 4, 5], [1, 4, 1], [2, 4, 1], [1, 4, 5]]",1,16,0.6666666666666666
76,9,2,test_6,3.008548735688526,3.49644413208918,5,"[[0, 4, 1], [0, 4, 5], [1, 4, 1], [2, 4, 1], [1, 4, 5]]",1,15,0.8333333333333334
77,9,2,test_7,4.102659872274207,3.499094272472548,5,"[[0, 4, 1], [1, 4, 1], [2, 4, 1], [2, 4, 5], [1, 4, 5]]",2,14,0.8333333333333334
78,9,2,test_8,4.492134674806647,3.8175859991234558,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [0, 4, 1], [1, 4, 1]]",0,13,0.5
79,9,2,test_9,4.330025265817762,3.658340135798002,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [2, 4, 1], [0, 4, 1]]",2,12,0.6666666666666666
80,10,0,test_0,3.876370498244402,3.5447589123278553,2,"[[0, 2, 5], [1, 2, 5]]",0,21,0.0
81,10,0,test_1,3.7216159406472458,3.408059479162051,3,"[[0, 3, 5], [2, 0, 4], [1, 0, 4]]",1,20,0.0
82,10,0,test_2,4.179104318830438,3.4336582868577747,4,"[[1, 5, 4], [1, 3, 4], [1, 1, 4], [2, 2, 4]]",2,19,0.0
83,10,0,test_3,2.6006093404895427,3.4345445062671036,2,"[[4, 2, 3], [3, 3, 2]]",3,18,0.0
84,10,0,test_4,3.4835025313573276,3.401163603333333,0,[],3,17,0.0
85,10,0,test_5,2.1587273335764157,3.401163603333333,0,[],0,16,0.0
86,10,0,test_6,3.4175681227738473,3.390688776750786,3,"[[0, 3, 3], [2, 1, 3], [1, 1, 3]]",2,15,0.0
87,10,0,test_7,3.7094464995179974,3.1841111304753213,3,"[[3, 4, 3], [4, 4, 3], [4, 4, 2]]",4,14,0.0
88,10,0,test_8,3.125021540751824,3.410059479162051,2,"[[0, 0, 3], [1, 0, 4]]",1,13,0.0
89,10,0,test_9,3.1504022861305128,3.4756763173445315,3,"[[2, 1, 4], [1, 3, 2], [0, 3, 3]]",1,12,0.0
90,11,1,test_0,3.430194807552933,3.7088778828196975,5,"[[1, 4, 5], [3, 4, 5], [0, 4, 5], [4, 4, 5], [4, 3, 5]]",4,21,0.8333333333333334
91,11,1,test_1,3.4102692891541935,3.7996975765581436,5,"[[4, 4, 5], [3, 4, 5], [2, 4, 5], [4, 3, 5], [3, 3, 5]]",4,20,0.3333333333333333
92,11,1,test_2,4.974507940308268,3.7996975765581436,5,"[[0, 4, 5], [1, 4, 5], [3, 4, 5], [2, 4, 5], [3, 3, 5]]",3,19,0.6666666666666666
93,11,1,test_3,3.7710332588389193,3.7088778828196975,5,"[[1, 4, 5], [1, 3, 5], [3, 4, 5], [4, 4, 5], [4, 3, 5]]",4,18,0.3333333333333333
94,11,1,test_4,4.528718959444991,3.7542877296889205,5,"[[0, 4, 5], [1, 4, 5], [0, 3, 5], [1, 3, 5], [2, 4, 5]]",0,17,0.3333333333333333
95,11,1,test_5,3.8726087606527946,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",3,16,0.8333333333333334
96,11,1,test_6,3.008548735688526,3.7542877296889205,5,"[[0, 4, 5], [1, 4, 5], [1, 3, 5], [2, 3, 5], [2, 4, 5]]",1,15,0.5
97,11,1,test_7,3.8326020671271595,3.7088778828196975,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [3, 3, 5]]",3,14,0.8333333333333334
98,11,1,test_8,3.8163146100428214,3.7542877296889205,5,"[[0, 4, 5], [1, 4, 5], [0, 3, 5], [3, 4, 5], [3, 3, 5]]",3,13,0.3333333333333333
99,11,1,test_9,4.1492307800824815,3.6634680359504745,5,"[[2, 4, 5], [3, 4, 5], [4, 4, 5], [3, 3, 5], [0, 4, 5]]",3,12,0.5
100,12,2,test_0,3.430194807552933,3.2286360576640654,5,"[[0, 4, 5], [4, 4, 1], [3, 4, 1], [2, 4, 2], [1, 4, 1]]",4,21,0.8333333333333334
101,12,2,test_1,2.5277916945787298,3.4764273761679676,3,"[[0, 4, 1], [1, 4, 1], [2, 4, 1]]",0,20,0.75
102,12,2,test_2,2.691272404263442,3.7242186946718703,1,"[[0, 4, 1]]",0,19,0.5
103,12,2,test_3,3.884941435514118,3.720932529068927,2,"[[0, 4, 1], [1, 4, 5]]",1,18,0.6666666666666666
104,12,2,test_4,4.140771135264861,3.72221869467187,2,"[[0, 4, 1], [2, 4, 1]]",2,17,0.6666666666666666
105,12,2,test_5,3.076003612951342,3.4721058347672322,5,"[[0, 4, 1], [1, 4, 1], [2, 4, 5], [3, 4, 1], [4, 4, 2]]",2,16,0.6666666666666666
106,12,2,test_6,3.012548735688526,3.718932529068927,3,"[[0, 4, 5], [1, 4, 5], [2, 4, 1]]",1,15,0.5
107,12,2,test_7,4.102659872274207,3.57054221686789,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 1], [2, 1, 4], [2, 2, 5]]",2,14,0.6666666666666666
108,12,2,test_8,4.496134674806647,3.695336177354479,3,"[[0, 3, 1], [0, 0, 5], [0, 4, 4]]",0,13,0.0
109,12,2,test_9,4.330025265817762,3.46634637760564,5,"[[0, 0, 1], [0, 1, 5], [0, 4, 5], [2, 0, 5], [2, 4, 5]]",2,12,0.16666666666666666
110,13,2,test_0,3.428680815225803,3.4258991916638792,5,"[[0, 5, 5], [1, 3, 1], [1, 1, 5], [3, 3, 1], [2, 1, 1]]",1,21,0.16666666666666666
111,13,2,test_1,3.9166335377372854,3.415312909929911,5,"[[0, 1, 5], [2, 3, 1], [1, 1, 5], [3, 1, 1], [1, 5, 1]]",3,20,0.16666666666666666
112,13,2,test_2,4.974507940308268,3.5394031383805182,5,"[[0, 1, 1], [0, 3, 5], [1, 1, 1], [3, 2, 1], [2, 1, 2]]",3,19,0.16666666666666666
113,13,2,test_3,3.941203480779368,3.4652856478956484,5,"[[0, 1, 5], [1, 3, 1], [2, 1, 1], [1, 1, 5], [0, 1, 1]]",0,18,0.16666666666666666
114,13,2,test_4,5.007721622330666,3.319097321161733,5,"[[0, 1, 5], [1, 3, 1], [2, 1, 5], [3, 1, 1], [1, 3, 5]]",1,17,0.16666666666666666
115,13,2,test_5,3.076003612951342,3.510296532944364,5,"[[0, 3, 5], [1, 1, 1], [2, 3, 5], [2, 3, 1], [4, 1, 1]]",2,16,0.16666666666666666
116,13,2,test_6,3.267755520533366,3.3840902134612207,5,"[[0, 1, 5], [1, 3, 1], [1, 1, 5], [3, 3, 1], [0, 1, 1]]",0,15,0.16666666666666666
117,13,2,test_7,3.2103132884371424,3.4421196215873406,5,"[[0, 1, 5], [1, 3, 5], [2, 1, 5], [1, 1, 1], [4, 1, 1]]",1,14,0.16666666666666666
118,13,2,test_8,3.679505201495061,3.446986789287041,4,"[[0, 3, 1], [4, 1, 5], [2, 3, 5], [4, 1, 1]]",4,13,0.0
119,13,2,test_9,3.1464022861305128,3.5085205810877707,5,"[[0, 1, 1], [1, 3, 4], [3, 2, 2], [3, 3, 5], [1, 3, 1]]",1,12,0.16666666666666666
120,15,1,test_0,3.673830218003717,3.4721058347672322,5,"[[0, 4, 5], [0, 4, 1], [1, 4, 5], [2, 4, 5], [3, 4, 5]]",2,21,0.8333333333333334
121,15,1,test_1,3.9166335377372854,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",3,20,0.8333333333333334
122,15,1,test_2,3.5999281007395374,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",4,19,0.6666666666666666
123,15,1,test_3,3.6590108574319666,3.8175859991234558,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [2, 4, 1]]",2,18,0.5
124,15,1,test_4,5.007721622330666,3.8175859991234558,5,"[[0, 4, 5], [0, 4, 1], [1, 4, 5], [1, 4, 1], [2, 4, 1]]",1,17,0.8333333333333334
125,15,1,test_5,3.8726087606527946,3.49644413208918,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [3, 4, 1]]",3,16,1.0
126,15,1,test_6,4.278378583114634,3.8195859991234555,4,"[[4, 4, 5], [4, 4, 1], [3, 4, 1], [2, 4, 5]]",4,15,0.6
127,15,1,test_7,3.8326020671271595,3.657015065606318,5,"[[1, 4, 5], [2, 4, 1], [2, 4, 5], [3, 4, 5], [3, 4, 1]]",3,14,1.0
128,15,1,test_8,3.677505201495061,3.6583401357980017,5,"[[4, 4, 1], [4, 4, 5], [3, 4, 1], [3, 4, 5], [3, 4, 4]]",4,13,0.6666666666666666
129,15,1,test_9,4.330025265817762,3.6583401357980017,5,"[[1, 4, 5], [0, 4, 1], [0, 4, 5], [2, 4, 1], [2, 4, 5]]",2,12,1.0
130,16,2,test_0,3.870370498244402,3.434785812066313,5,"[[2, 2, 1], [0, 4, 1], [0, 0, 1], [0, 5, 3], [2, 3, 0]]",0,21,0.16666666666666666
131,16,2,test_1,3.9166335377372854,3.41353773624607,5,"[[1, 4, 5], [1, 1, 2], [2, 0, 3], [3, 1, 3], [4, 4, 1]]",3,20,0.3333333333333333
132,16,2,test_2,4.974507940308268,3.8412205149553147,5,"[[0, 0, 5], [1, 1, 4], [0, 4, 3], [3, 4, 0], [3, 2, 1]]",3,19,0.16666666666666666
133,16,2,test_3,3.945203480779368,3.7663010718588095,3,"[[0, 4, 3], [0, 0, 1], [0, 1, 5]]",0,18,0.0
134,16,2,test_4,4.528718959444991,3.926012136301513,5,"[[0, 5, 1], [0, 2, 3], [0, 0, 5], [0, 0, 0], [0, 4, 3]]",0,17,0.16666666666666666
135,16,2,test_5,3.076003612951342,3.5809620022077664,5,"[[2, 0, 1], [2, 4, 3], [2, 2, 5], [2, 1, 0], [2, 5, 3]]",2,16,0.16666666666666666
136,16,2,test_6,3.267755520533366,3.2335292281315438,5,"[[1, 4, 1], [0, 4, 2], [0, 1, 3], [0, 0, 5], [1, 0, 3]]",0,15,0.3333333333333333
137,16,2,test_7,2.0834321744657323,2.7952120060252392,5,"[[0, 0, 3], [0, 2, 5], [0, 4, 0], [0, 4, 4], [0, 5, 3]]",0,14,0.16666666666666666
138,16,2,test_8,4.037376016920881,3.227712252247816,5,"[[1, 4, 2], [2, 1, 3], [2, 0, 0], [2, 4, 1], [1, 2, 4]]",2,13,0.3333333333333333
139,16,2,test_9,4.330025265817762,3.7746271782683243,5,"[[2, 0, 4], [2, 2, 1], [2, 4, 3], [2, 1, 0], [2, 3, 5]]",2,12,0.16666666666666666
140,20,2,test_0,3.876370498244402,3.4782675094057365,2,"[[0, 3, 4], [1, 5, 4]]",0,21,0.0
141,20,2,test_1,3.085388610422936,2.8358144358901636,2,"[[2, 4, 5], [2, 5, 3]]",2,20,0.3333333333333333
142,20,2,test_2,4.9845079403082675,3.401163603333333,0,[],3,19,0.0
143,20,2,test_3,3.6630108574319666,3.444097336037905,3,"[[2, 5, 0], [2, 5, 5], [2, 5, 4]]",2,18,0.0
144,20,2,test_4,2.5430420156466984,3.401163603333333,0,[],4,17,0.0
145,20,2,test_5,3.086003612951342,3.401163603333333,0,[],2,16,0.0
146,20,2,test_6,3.0105487356885257,3.645369050539947,4,"[[0, 5, 3], [0, 5, 4], [1, 1, 4], [1, 4, 4]]",1,15,0.0
147,20,2,test_7,2.0874321744657323,3.48974843326827,3,"[[0, 5, 1], [2, 5, 4], [4, 5, 3]]",0,14,0.0
148,20,2,test_8,3.125021540751824,3.410602336710381,2,"[[0, 0, 2], [1, 0, 5]]",1,13,0.0
149,20,2,test_9,4.153230780082481,3.449430552536159,3,"[[3, 5, 3], [2, 5, 2], [4, 5, 4]]",3,12,0.0
150,21,2,test_0,3.870370498244402,3.6929809799081297,5,"[[0, 4, 0], [1, 4, 0], [2, 4, 0], [3, 4, 0], [4, 4, 0]]",0,21,0.16666666666666666
151,21,2,test_1,3.9166335377372854,3.7162186946718703,5,"[[0, 4, 0], [1, 4, 4], [2, 4, 5], [3, 4, 1], [4, 4, 1]]",3,20,0.16666666666666666
152,21,2,test_2,4.177104318830438,3.7162186946718703,5,"[[0, 0, 1], [1, 4, 5], [2, 4, 1], [3, 2, 5], [4, 2, 1]]",2,19,0.16666666666666666
153,21,2,test_3,3.6590108574319666,3.714932529068927,5,"[[0, 5, 1], [1, 1, 1], [2, 4, 5], [3, 3, 4], [4, 0, 4]]",2,18,0.3333333333333333
154,21,2,test_4,2.5330420156466986,3.7012653241619238,5,"[[0, 0, 2], [1, 1, 2], [2, 2, 2], [3, 3, 2], [4, 4, 2]]",4,17,0.16666666666666666
155,21,2,test_5,3.076003612951342,3.4722675094057367,5,"[[0, 5, 4], [1, 4, 4], [2, 3, 4], [3, 2, 4], [4, 1, 4]]",2,16,0.16666666666666666
156,21,2,test_6,4.276378583114634,3.6929809799081297,5,"[[0, 4, 0], [1, 4, 0], [2, 4, 0], [3, 4, 0], [4, 4, 0]]",4,15,0.16666666666666666
157,21,2,test_7,4.102659872274207,3.7162186946718703,5,"[[0, 4, 4], [1, 4, 0], [2, 4, 1], [3, 4, 2], [4, 4, 5]]",2,14,0.3333333333333333
158,21,2,test_8,3.8163146100428214,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",3,13,0.3333333333333333
159,21,2,test_9,4.330025265817762,3.6929809799081297,5,"[[0, 4, 0], [1, 4, 0], [2, 4, 0], [3, 4, 0], [4, 4, 0]]",2,12,0.16666666666666666
160,22,2,test_0,3.428680815225803,3.4641557481508967,5,"[[0, 4, 5], [1, 5, 1], [4, 4, 3], [4, 0, 5], [1, 0, 5]]",1,21,0.3333333333333333
161,22,2,test_1,3.4102692891541935,3.75515553477106,5,"[[4, 4, 5], [0, 4, 5], [2, 0, 4], [2, 4, 1], [4, 2, 2]]",4,20,0.3333333333333333
162,22,2,test_2,3.5999281007395374,3.415543913502901,5,"[[0, 4, 5], [3, 0, 4], [2, 3, 2], [3, 2, 3], [4, 5, 5]]",4,19,0.3333333333333333
163,22,2,test_3,3.6590108574319666,3.7157422243574056,5,"[[0, 4, 3], [2, 0, 3], [2, 4, 4], [4, 3, 3], [3, 2, 2]]",2,18,0.16666666666666666
164,22,2,test_4,5.007721622330666,3.7200753858429643,5,"[[1, 4, 1], [3, 1, 2], [2, 2, 2], [1, 0, 1], [0, 2, 1]]",1,17,0.3333333333333333
165,22,2,test_5,3.076003612951342,3.4666167267093178,5,"[[0, 3, 1], [1, 2, 3], [2, 4, 5], [4, 3, 1], [2, 0, 2]]",2,16,0.3333333333333333
166,22,2,test_6,4.276378583114634,3.404602336710381,5,"[[0, 3, 0], [1, 2, 5], [2, 4, 2], [3, 1, 3], [4, 0, 5]]",4,15,0.16666666666666666
167,22,2,test_7,3.707446499517997,3.463594358927274,4,"[[0, 0, 5], [4, 4, 3], [2, 2, 2], [4, 0, 5]]",4,14,0.0
168,22,2,test_8,3.121021540751824,3.406602336710381,4,"[[0, 4, 5], [1, 0, 5], [2, 3, 5], [4, 5, 5]]",1,13,0.2
169,22,2,test_9,4.330025265817762,3.4721058347672322,5,"[[0, 0, 5], [1, 2, 4], [2, 4, 5], [3, 0, 5], [4, 2, 3]]",2,12,0.3333333333333333
170,23,1,test_0,3.870370498244402,3.113445694695138,5,"[[0, 4, 5], [1, 4, 5], [0, 2, 4], [1, 5, 3], [0, 0, 4]]",0,21,0.5
171,23,1,test_1,3.7176159406472458,3.3676507252167935,5,"[[0, 1, 2], [0, 4, 5], [1, 5, 3], [1, 0, 3], [1, 0, 1]]",1,20,0.16666666666666666
172,23,1,test_2,2.285670085115509,3.432576386509377,5,"[[1, 0, 2], [0, 0, 2], [1, 1, 4], [0, 1, 4], [1, 2, 1]]",1,19,0.16666666666666666
173,23,1,test_3,3.943203480779368,3.4472451463665266,4,"[[0, 0, 5], [1, 0, 4], [1, 1, 1], [0, 1, 2]]",0,18,0.0
